i,x,y,u_avg,rank,pct_rank
2965,0.271933169378622,0.490331787896831,0.109199309259104,1145,0.245880026367832
692,0.493050412047735,0.710962926978406,0.108956257465336,1146,0.245220830586685
3141,0.273105171823268,0.489574912494899,0.108234870335815,1147,0.244561634805538
3778,0.15027208526834,0.36668773835304,0.10820782654235,1148,0.243902439024391
2731,0.271933169378622,0.487750811503754,0.107908821062566,1149,0.243243243243244
1026,0.251079466700677,0.464909468290918,0.10691500079512,1150,0.242584047462097
2848,0.271933169378622,0.485448367854829,0.106757599238104,1151,0.24192485168095
928,0.41984063523559,0.632028679696545,0.106094022230478,1152,0.241265655899803
1962,0.183708426034365,0.39451635521693,0.105403964591282,1153,0.240606460118656
1287,0.386986179551735,0.597588081510292,0.105300950979278,1154,0.239947264337509
2724,0.114939393150055,0.32548138349128,0.105270995170613,1155,0.239288068556362
1166,0.412452673867832,0.622795642519398,0.105171484325783,1156,0.238628872775215
623,0.478496570051812,0.688744328917491,0.10512387943284,1157,0.237969676994068
2906,0.271933169378622,0.481851138126725,0.104958984374052,1158,0.237310481212921
2783,0.120074387097315,0.329694637115284,0.104810125008985,1159,0.236651285431774
2613,0.257322098538683,0.466596789508344,0.104637345484831,1160,0.235992089650627
870,0.413121104121286,0.621927887623346,0.10440339175103,1161,0.23533289386948
3015,0.119929314526503,0.328446783017085,0.104258734245291,1162,0.234673698088333
3082,0.271933169378622,0.480177063440442,0.10412194703091,1163,0.234014502307186
2611,0.210175744051358,0.417412421613568,0.103618338781105,1164,0.233355306526039
752,0.466049894071825,0.672550122647131,0.103250114287653,1165,0.232696110744892
1047,0.412948300159202,0.618883933730391,0.102967816785595,1166,0.232036914963745
693,0.493050412047735,0.698863040212697,0.102906314082481,1167,0.231377719182598
812,0.422571570162668,0.626975001261376,0.102201715549354,1168,0.230718523401451
635,0.496916850650339,0.700027814425188,0.101555481887425,1169,0.230059327620304
3023,0.271933169378622,0.475002423521786,0.101534627071582,1170,0.229400131839157
1226,0.412452673867832,0.613912370584328,0.100729848358248,1171,0.22874093605801
1107,0.412948300159202,0.613735842521499,0.100393771181148,1172,0.228081740276863
230,0.659191041181269,0.859246653885541,0.100027806352136,1173,0.227422544495716
988,0.413213409807124,0.611245944613076,0.0990162674029758,1174,0.226763348714569
3132,0.119929314526503,0.316965462372004,0.0985180739227504,1175,0.226104152933422
2671,0.254886893480221,0.45096639087474,0.0980397486972596,1176,0.225444957152275
1611,0.228440089310822,0.424217106435858,0.0978885085625181,1177,0.224785761371128
4547,0.376003108374044,0.571596641831593,0.0977967667287748,1178,0.224126565589981
286,0.647225525395579,0.841991414553179,0.0973829445787997,1179,0.223467369808834
1288,0.386986179551735,0.580787509597983,0.0969006650231236,1180,0.222808174027687
1167,0.413721587879723,0.605477576537698,0.0958779943289872,1181,0.22214897824654
751,0.493050412047735,0.684322155934147,0.0956358719432061,1182,0.221489782465393
2553,0.244580785205575,0.434258148086639,0.0948386814405319,1183,0.220830586684246
1289,0.386986179551735,0.57599424129172,0.0945040308699923,1184,0.220171390903099
1227,0.408586593932463,0.596274802955401,0.093844104511469,1185,0.219512195121952
3131,0.0908825847888605,0.278507269901171,0.0938123425561553,1186,0.218852999340805
